Atomic Number,Name,Symbol,El. Configuration,Atomic Mass (u),Atomic Radius (pm),Covalent Radius Pyykko (pm),Electronegativity (Ghosh),Electronegativity (Pauling)
65,Terbium,Tb,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f9', '6s2']",158.92535,175.0,168.0,0.198863,
66,Dysprosium,Dy,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f10', '6s2']",162.5,175.0,167.0,0.20332999999999998,1.22
67,Holmium,Ho,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f11', '6s2']",164.93033,175.0,166.0,0.20779499999999998,1.23
68,Erbium,Er,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f12', '6s2']",167.259,175.0,165.0,0.212261,1.24
69,Thulium,Tm,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f13', '6s2']",168.93422,175.0,164.0,0.2167244,1.25
70,Ytterbium,Yb,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '6s2']",173.045,175.0,170.0,0.22119,
71,Lutetium,Lu,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d1', '6s2']",174.9668,175.0,162.0,0.22565,1.0
72,Hafnium,Hf,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d2', '6s2']",178.49,155.0,152.0,0.229987,1.3
73,Tantalum,Ta,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d3', '6s2']",180.94788,145.0,146.0,0.23458099999999998,1.5
74,Tungsten,W,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d4', '6s2']",183.84,135.0,137.0,0.2390504,1.7
75,Rhenium,Re,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d5', '6s2']",186.207,135.0,131.0,0.24351639999999997,1.9
76,Osmium,Os,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d6', '6s2']",190.23,130.0,129.0,0.24798449999999997,2.2
77,Iridium,Ir,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d7', '6s2']",192.217,135.0,122.0,0.25106,2.2
78,Platinum,Pt,"['1s2', '2s2', '2p6', '3s2', '3p6', '4s2', '3d10', '4p6', '5s2', '4d10', '5p6', '4f14', '5d9', '6s1']",195.084,135.0,123.0,0.25690999999999997,2.2
