Structure name,Cartesian coordinates,Internal coordinates,Coordination number,Spin deviation,SOMO-LUMO gap (a.u),SOMO-1-LUMO gap,SOMO-2-LUMO gap,Dipole moment X,Dipole moment Y,Dipole moment Z
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -1.900000    0.000000    0.000000
  H     -2.324047   -0.936993   -0.003934
  H     -2.323257    0.469718   -0.810615
  H     -2.327524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     1.900000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004286,0.6463850000000002,0.795922,0.804459,-0.17432,0.02093,-0.00015
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.000000    0.000000    0.000000
  H     -2.424047   -0.936993   -0.003934
  H     -2.423257    0.469718   -0.810615
  H     -2.427524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.000000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004243,0.663273,0.80297,0.8103530000000001,-0.12884,0.02109,-0.00017
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.100000    0.000000    0.000000
  H     -2.524047   -0.936993   -0.003934
  H     -2.523257    0.469718   -0.810615
  H     -2.527524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.100000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.00437,0.6833849999999999,0.808684,0.8169059999999999,-0.09059,0.02211,-0.00021
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.200000    0.000000    0.000000
  H     -2.624047   -0.936993   -0.003934
  H     -2.623257    0.469718   -0.810615
  H     -2.627524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.200000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004481,0.6976470000000001,0.8126440000000001,0.8217300000000001,-0.05689,0.02282,-0.00058
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.300000    0.000000    0.000000
  H     -2.724047   -0.936993   -0.003934
  H     -2.723257    0.469718   -0.810615
  H     -2.727524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.300000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004579,0.7070290000000001,0.81504,0.825216,-0.02933,0.02331,-0.00064
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.400000    0.000000    0.000000
  H     -2.824047   -0.936993   -0.003934
  H     -2.823257    0.469718   -0.810615
  H     -2.827524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.400000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004646,0.711743,0.8158049999999999,0.827634,-0.01061,0.02361,-0.0006
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.500000    0.000000    0.000000
  H     -2.924047   -0.936993   -0.003934
  H     -2.923257    0.469718   -0.810615
  H     -2.927524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.500000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004594,0.7116690000000001,0.8149680000000001,0.829156,-0.00689,0.02382,-0.00065
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      1.900000    0.000000    0.000000
  N     -2.600000    0.000000    0.000000
  H     -3.024047   -0.936993   -0.003934
  H     -3.023257    0.469718   -0.810615
  H     -3.027524    0.464471    0.811265
  H      2.488723   -0.027065    0.781228
  H      2.487705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     1.900000000000     0.00000000     0.00000000
 N      1   2   0     2.600000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004299,0.7060690000000001,0.8125100000000001,0.82989,-0.02531,0.02385,-0.00072
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      2.000000    0.000000    0.000000
  N     -1.800000    0.000000    0.000000
  H     -2.224047   -0.936993   -0.003934
  H     -2.223257    0.469718   -0.810615
  H     -2.227524    0.464471    0.811265
  H      2.588723   -0.027065    0.781228
  H      2.587705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     2.000000000000     0.00000000     0.00000000
 N      1   2   0     1.800000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004079,0.622282,0.7918350000000001,0.8042100000000001,-0.38746,0.00219,0.00048
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      2.000000    0.000000    0.000000
  N     -1.900000    0.000000    0.000000
  H     -2.324047   -0.936993   -0.003934
  H     -2.323257    0.469718   -0.810615
  H     -2.327524    0.464471    0.811265
  H      2.588723   -0.027065    0.781228
  H      2.587705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     2.000000000000     0.00000000     0.00000000
 N      1   2   0     1.900000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004161,0.6576580000000001,0.8024850000000001,0.8143,-0.34228,0.00283,0.0002
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      2.000000    0.000000    0.000000
  N     -2.000000    0.000000    0.000000
  H     -2.424047   -0.936993   -0.003934
  H     -2.423257    0.469718   -0.810615
  H     -2.427524    0.464471    0.811265
  H      2.588723   -0.027065    0.781228
  H      2.587705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     2.000000000000     0.00000000     0.00000000
 N      1   2   0     2.000000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004264,0.6842600000000001,0.8101780000000001,0.8218650000000001,-0.29843,0.00334,-0.0001
Co_ON,"  Co     0.000000    0.000000    0.000000
  O      2.000000    0.000000    0.000000
  N     -2.100000    0.000000    0.000000
  H     -2.524047   -0.936993   -0.003934
  H     -2.523257    0.469718   -0.810615
  H     -2.527524    0.464471    0.811265
  H      2.588723   -0.027065    0.781228
  H      2.587705    0.062536   -0.779945"," Co     0   0   0     0.000000000000     0.00000000     0.00000000
 O      1   0   0     2.000000000000     0.00000000     0.00000000
 N      1   2   0     2.100000000000   180.00000000     0.00000000
 H      3   1   2     1.028487836659   114.34946966   179.75946025
 H      3   1   2     1.028045676730   114.31230661    59.90949855
 H      3   1   2     1.027940204448   114.57622280   299.79226941
 H      2   1   3     0.978593229364   126.98467032   271.98416115
 H      2   1   3     0.978581486940   126.91058997    94.58416122",2,0.004282,0.700143,0.815045,0.822246,-0.1822,0.02184,-0.00056
