iter	Passed	Remaining
410	3738	5357
411	3748	5349
412	3756	5338
413	3766	5330
414	3775	5321
415	3785	5314
416	3795	5306
417	3805	5298
418	3815	5291
419	3824	5282
420	3834	5273
421	3841	5262
422	3851	5254
423	3859	5243
424	3870	5236
425	3886	5236
426	3897	5229
427	3907	5221
428	3918	5215
429	3927	5205
430	3934	5194
431	3943	5185
432	3952	5175
433	3961	5166
434	3968	5155
435	3978	5146
436	3985	5134
437	3994	5125
438	4002	5114
439	4012	5106
440	4019	5095
441	4029	5086
442	4037	5077
443	4048	5069
444	4056	5058
445	4063	5047
446	4070	5035
447	4079	5026
448	4086	5015
449	4096	5007
450	4104	4996
451	4114	4987
452	4123	4979
453	4130	4967
454	4139	4958
455	4147	4947
456	4156	4938
457	4164	4928
458	4173	4918
459	4179	4906
460	4188	4897
461	4196	4886
462	4204	4876
463	4211	4865
464	4221	4857
465	4228	4845
466	4237	4836
467	4245	4825
468	4254	4817
469	4262	4806
470	4275	4802
471	4285	4793
472	4294	4785
473	4304	4777
474	4313	4767
475	4321	4757
476	4329	4747
477	4338	4737
478	4345	4726
479	4354	4717
480	4362	4706
481	4372	4698
482	4379	4688
483	4389	4679
484	4396	4668
485	4405	4659
486	4413	4648
487	4422	4639
488	4429	4629
489	4438	4620
490	4446	4609
491	4457	4602
492	4470	4597
493	4480	4589
494	4490	4581
495	4502	4574
496	4510	4565
497	4520	4556
498	4528	4546
499	4537	4537
500	4544	4526
501	4553	4516
502	4560	4506
503	4569	4497
504	4577	4486
505	4587	4478
506	4594	4467
507	4602	4457
508	4614	4451
509	4622	4441
510	4631	4432
511	4639	4421
512	4648	4413
513	4662	4408
514	4671	4398
515	4683	4393
516	4692	4384
517	4702	4375
518	4711	4366
519	4718	4355
520	4728	4346
521	4735	4336
522	4745	4327
523	4752	4317
524	4761	4308
525	4768	4297
526	4778	4288
527	4786	4278
528	4795	4269
529	4803	4259
530	4811	4249
531	4818	4238
532	4826	4229
533	4834	4218
534	4843	4209
535	4851	4199
536	4860	4190
537	4867	4179
538	4876	4171
539	4884	4160
540	4893	4151
541	4901	4141
542	4910	4132
543	4920	4124
544	4930	4115
545	4938	4105
546	4946	4096
547	4953	4085
548	4962	4076
549	4969	4065
550	4978	4056
551	4985	4046
552	4994	4037
553	5001	4026
554	5010	4017
555	5018	4007
556	5027	3998
557	5034	3987
558	5047	3982
559	5056	3972
560	5063	3961
561	5072	3953
562	5081	3944
563	5093	3937
564	5104	3930
565	5111	3919
566	5120	3910
567	5127	3900
568	5136	3890
569	5144	3880
570	5152	3870
571	5159	3860
572	5167	3851
573	5175	3841
574	5185	3832
575	5193	3822
576	5202	3813
577	5210	3803
578	5218	3794
579	5226	3784
580	5235	3775
581	5243	3765
582	5252	3756
