iter	RMSE
170	0.7243697972
171	0.7224540294
172	0.720972409
173	0.7189964089
174	0.7176053984
175	0.7172240205
176	0.7151672423
177	0.7133780754
178	0.7104767029
179	0.7088451597
180	0.7076160228
181	0.7047429394
182	0.7041139329
183	0.7008347257
184	0.7005098085
185	0.6990862376
186	0.6978402229
187	0.696690906
188	0.6958533512
189	0.6954651441
190	0.6932925172
191	0.6903620656
192	0.6872168237
193	0.6859365265
194	0.6841241046
195	0.6826978306
196	0.6800577197
197	0.6797546167
198	0.6770503981
199	0.6766746078
200	0.6747961397
201	0.6735035018
202	0.6720507898
203	0.6705287887
204	0.6696828353
205	0.6691440062
206	0.666159834
207	0.6648443491
208	0.6638226414
209	0.6633347001
210	0.6624898105
211	0.6613685545
212	0.6584867296
213	0.6580487888
214	0.656491011
215	0.6560245185
216	0.6545957989
217	0.652596822
218	0.6515791721
219	0.6507280514
220	0.6493720118
221	0.6468699041
222	0.6463841301
223	0.6443738555
224	0.6440827932
225	0.6435369777
226	0.6412332516
227	0.6383258413
228	0.6373884371
229	0.6353801706
230	0.6342162094
231	0.6322920818
232	0.6310039613
233	0.6291019275
234	0.6287652374
235	0.6283436171
236	0.6272659227
237	0.6262210584
238	0.6248466069
239	0.6245381368
240	0.6230555264
241	0.6227497615
242	0.6221500425
243	0.6218901963
244	0.6216330571
245	0.6205324006
246	0.6196863825
247	0.6184986868
248	0.6171138515
249	0.6162186622
250	0.6141782655
251	0.6133187161
252	0.6121185055
253	0.6108129851
254	0.6099451221
255	0.6082553709
256	0.6073426352
257	0.6070862665
258	0.6064004977
259	0.6054987648
260	0.6052761549
261	0.6050552769
262	0.6037450668
263	0.6021746759
264	0.600146258
265	0.5992549438
266	0.5977617128
267	0.5957056176
268	0.5935371928
269	0.5919868983
270	0.591753388
271	0.5899305051
272	0.5890337622
273	0.5884233534
274	0.5874958084
275	0.586061856
276	0.5858404304
277	0.5847343719
278	0.5837727104
279	0.5827917315
280	0.5825873807
281	0.5818250651
282	0.5805955814
283	0.5794529092
284	0.5783647035
285	0.5776504316
286	0.5770225249
287	0.5753524237
288	0.5741634616
289	0.5720258168
290	0.5713695757
291	0.57081404
292	0.5697064895
293	0.569515229
294	0.5685811281
295	0.567912766
296	0.5674835895
297	0.5670002207
298	0.5663464823
299	0.5657309879
300	0.5644140606
301	0.5633706631
302	0.5625590294
303	0.5615183338
304	0.5611471993
305	0.5600601836
306	0.5595951208
307	0.558238896
308	0.5571851181
309	0.5556977409
310	0.5548758003
311	0.55396088
312	0.5520421108
313	0.5507221282
314	0.5497982188
315	0.548535519
316	0.5476240915
317	0.546670328
318	0.5459534052
319	0.5457044812
320	0.5452012917
321	0.5443605089
322	0.543638395
323	0.5428017374
324	0.5418217948
325	0.5405106018
326	0.5398403115
327	0.5390125368
328	0.5381973423
329	0.5375306532
330	0.5373537896
331	0.5368596698
332	0.5363985291
333	0.5356375216
334	0.5346738125
335	0.5341080388
336	0.5338544462
337	0.5330116264
338	0.532446919
339	0.5320812582
340	0.5319128637
341	0.5313707445
342	0.5311998932
343	0.5304044627
344	0.5299242177
345	0.5292174416
346	0.5279930712
347	0.5271159106
348	0.5264626924
349	0.526086339
350	0.5252517267
351	0.5243771483
352	0.5237211863
353	0.522352028
354	0.5217768671
355	0.5206099991
356	0.5192914497
357	0.5181767849
358	0.5171838976
359	0.5167359294
360	0.5164997093
361	0.5162072066
362	0.5151498344
363	0.5137833301
364	0.5130488352
365	0.5120355232
366	0.5118919088
367	0.5110135451
368	0.5101897132
369	0.5096229392
370	0.5087698776
371	0.5079980283
372	0.5067960145
373	0.5066540525
374	0.5059106208
375	0.5053032371
376	0.5046346847
377	0.5040911901
378	0.5035720534
379	0.5031882186
380	0.5024848402
381	0.5018392043
382	0.5011204851
383	0.5006710219
384	0.4999721163
385	0.4995729641
386	0.4982720526
387	0.4972913075
388	0.4969481783
389	0.4966920329
390	0.496305487
391	0.4959197581
392	0.4953657308
393	0.4944321075
394	0.4940535628
395	0.4938483676
396	0.4937143796
397	0.4925447365
398	0.4920115933
399	0.4913709391
400	0.4908938585
401	0.4905506238
402	0.4901639178
403	0.4891941617
404	0.4884459662
405	0.4870638092
406	0.4864140964
407	0.4856910674
408	0.4855652505
409	0.4848250041
410	0.4841664054
411	0.4828806643
412	0.4823695571
413	0.4814064784
414	0.4812941824
415	0.4808021253
416	0.4804267798
417	0.479630235
418	0.4784972838
419	0.4778795688
420	0.4770168432
421	0.4764334497
422	0.4761400682
423	0.4756815053
424	0.4753453992
425	0.4744714121
426	0.4740468176
427	0.4734732706
428	0.4730238014
429	0.4723289092
430	0.4717622157
431	0.4713529908
432	0.4705125915
433	0.4701527292
434	0.4697706655
435	0.4693863331
436	0.4691381225
437	0.4686907868
438	0.4679338366
439	0.4675487241
440	0.4670051422
441	0.465908528
442	0.4656126874
443	0.465377709
444	0.4651347916
445	0.4647142509
446	0.4642626296
447	0.4639708348
448	0.4637199453
449	0.4633681124
450	0.4629402225
451	0.461663387
452	0.4614795538
453	0.4607690521
454	0.4601608514
455	0.4597263089
456	0.4589803298
457	0.4583926972
458	0.457970151
459	0.4572538071
460	0.4567270024
461	0.4564838707
462	0.4558359448
463	0.4553293714
464	0.4549571164
465	0.4546579476
466	0.4543836034
467	0.4538115256
468	0.4531558409
469	0.4529563585
470	0.4526098984
471	0.4523790345
472	0.4515477049
473	0.4511729446
474	0.4501468043
475	0.4498870947
476	0.4496989904
477	0.4494334795
478	0.449140503
479	0.4482648029
480	0.4476348832
481	0.4466692736
482	0.4463888785
483	0.4454919379
484	0.4453352184
485	0.4440768848
486	0.443417907
487	0.4432026891
488	0.4426120162
489	0.4414399197
490	0.4403084931
491	0.4401500159
492	0.4399895236
493	0.4398869306
494	0.4393377308
495	0.4384833314
496	0.4381784918
497	0.437316924
498	0.4367756073
499	0.436492946
500	0.4362348786
501	0.4358097758
502	0.4354186907
503	0.4351202477
504	0.434698096
505	0.4341688559
506	0.433409359
507	0.4331461982
508	0.4329626201
509	0.4319168365
510	0.4315555087
511	0.4309032825
512	0.4303335459
513	0.4298538003
514	0.4295591679
515	0.428991107
516	0.4287418158
517	0.4282900692
518	0.4279336406
519	0.4276834218
520	0.4274654433
521	0.427185654
522	0.4270224939
523	0.4267018002
524	0.4259779098
525	0.4257671899
526	0.4249512243
527	0.4245995628
528	0.4241886488
529	0.4240952598
530	0.4237369587
531	0.4235289769
532	0.4230535876
533	0.4228143625
534	0.4225687664
535	0.4222832956
536	0.421909642
537	0.4214521339
538	0.421274471
539	0.4207710331
540	0.4206194666
541	0.4203918123
542	0.4196959557
543	0.4195649247
544	0.4190440183
545	0.4182978568
546	0.4181186526
547	0.4171498016
548	0.4163577849
549	0.4156623705
550	0.4155471284
551	0.4151902118
552	0.4147808756
553	0.4146873933
554	0.4143234473
555	0.41383456
556	0.4135996901
557	0.413045605
558	0.412654181
559	0.4120514762
560	0.4118488995
561	0.4116805631
562	0.4114235047
563	0.4110801198
564	0.4108653957
565	0.4101656964
566	0.4098503098
567	0.4097559377
568	0.4095111445
569	0.4093417795
570	0.4091478215
571	0.4085747741
572	0.4084733035
573	0.4082983809
574	0.4075892081
575	0.4069059564
576	0.4067518222
577	0.4065248636
578	0.4059568919
579	0.40546405
580	0.4050957425
581	0.4049062534
582	0.4044480612
583	0.403710575
584	0.4032114244
585	0.4029152549
586	0.4025128498
587	0.4023156065
588	0.4020731082
589	0.4018397525
590	0.4016389254
591	0.4014188693
592	0.4010460261
593	0.4007899273
594	0.4004054131
595	0.4000888813
596	0.3998711798
597	0.3996248172
598	0.3995332358
599	0.399437166
600	0.3990214516
601	0.3984012797
602	0.3981013377
603	0.3976010611
604	0.3972810538
605	0.3969220994
606	0.3961176404
607	0.3960292108
608	0.3952647294
609	0.3946362179
610	0.3941982326
611	0.3934938081
612	0.3933994448
613	0.393319023
614	0.3929511611
615	0.3927270838
616	0.3926051617
617	0.3917927916
618	0.3916642046
619	0.39113591
620	0.3909957822
621	0.3907107341
622	0.3901787405
623	0.3901008003
624	0.3899648002
625	0.3895903368
626	0.3894114126
627	0.3891238864
628	0.3889441493
629	0.3883686413
630	0.3878149192
631	0.3877104892
632	0.3872005127
633	0.3866891191
634	0.3862010031
635	0.3860094105
636	0.3855763029
637	0.385340621
638	0.3849269484
639	0.3843048807
640	0.3842134929
641	0.3840007866
642	0.3836634379
643	0.3833894334
644	0.3829257481
645	0.3825897511
646	0.3825102961
647	0.3822562809
648	0.3821702931
649	0.381997508
650	0.381539704
651	0.3811885418
652	0.380744486
653	0.380294694
654	0.3799261767
655	0.3798531609
656	0.3793783181
657	0.3790640377
658	0.3783822689
659	0.3782996447
660	0.3778888113
661	0.3777150725
662	0.3772537088
663	0.3770313843
664	0.3767094128
665	0.3765776873
666	0.3764550279
667	0.3760480912
668	0.3755774337
669	0.3752205915
670	0.37499737
671	0.3747335057
672	0.3746004877
673	0.3743822748
674	0.3739790497
675	0.3737152614
676	0.3731842116
677	0.3729244977
678	0.3728545964
679	0.3724851304
680	0.3721391197
681	0.3720447174
682	0.3719113616
683	0.371801898
684	0.371317364
685	0.3708398923
686	0.3706466957
687	0.3703341379
688	0.3702599041
689	0.3698354718
690	0.3695114777
691	0.368722503
692	0.3683609362
693	0.3681806647
694	0.3681070935
695	0.3680274714
696	0.3675675607
697	0.3673526039
698	0.3672578519
699	0.3671488599
700	0.3667267452
701	0.3665211134
702	0.3664443893
703	0.3661687202
704	0.3658149512
705	0.3655554327
706	0.3653009702
707	0.3650858654
708	0.3646760389
709	0.3645863647
710	0.3643583706
711	0.364252018
712	0.3640908345
713	0.3638281297
714	0.3636666392
715	0.3635944058
716	0.3633367861
717	0.3630825244
718	0.3628924916
719	0.3624851792
720	0.3622841083
721	0.3616446902
722	0.3612580883
723	0.3610094454
724	0.360563724
725	0.3598111462
726	0.3596389685
727	0.3594687202
728	0.3593477234
729	0.3591551305
730	0.3588263418
731	0.3585642912
732	0.3583622596
733	0.3582304508
734	0.3577404912
735	0.3574121993
736	0.3572287092
737	0.3568903096
738	0.3566113292
739	0.3564998614
740	0.3564272895
741	0.3561136246
742	0.35582373
743	0.3553063376
744	0.3552445349
745	0.3547988264
746	0.3542891219
747	0.3538307813
748	0.3537193758
749	0.3536076922
750	0.3529539362
751	0.3528938536
752	0.3526165935
753	0.3525208737
754	0.3524466766
755	0.3520581948
756	0.3519020387
757	0.3512761202
758	0.350904878
759	0.3504524422
760	0.3500943402
761	0.3496121695
762	0.3492536644
763	0.3488254907
764	0.3482116565
765	0.3480670636
766	0.3475717023
767	0.3475041777
768	0.3473406683
769	0.3468744819
770	0.3466270827
771	0.3462080889
772	0.345847678
773	0.345452803
774	0.345094834
775	0.3446634447
776	0.3444481116
777	0.344373508
778	0.3441200843
779	0.3439926283
780	0.3438025206
781	0.343447006
782	0.3432968069
783	0.3432442367
784	0.3431870486
785	0.3427356361
786	0.3423429813
787	0.3422160275
788	0.3421095031
789	0.3417757815
790	0.3415848824
791	0.3414429388
792	0.3413936757
793	0.341048106
794	0.3407369205
795	0.340598054
796	0.3405477916
797	0.3401786111
798	0.3399772319
799	0.3398851059
800	0.3398226338
801	0.3396061512
802	0.3394218241
803	0.3392278112
804	0.3390467967
805	0.3389172195
806	0.3388074684
807	0.3385147524
808	0.3384088861
809	0.3383044181
810	0.3380972839
811	0.3377469889
812	0.3376915633
813	0.3371077088
814	0.3365656928
815	0.3365028916
816	0.3361220603
817	0.3360021338
818	0.3355948931
819	0.3353816168
820	0.3352698977
821	0.3352108114
822	0.3349029655
823	0.3346484143
824	0.3344650591
825	0.3343768609
826	0.3341117649
827	0.3337503561
828	0.3336556102
829	0.3334586164
830	0.3332512816
831	0.3331758091
832	0.332725301
833	0.3326304754
834	0.3322296639
835	0.3318455477
836	0.3315961403
837	0.3314960567
838	0.3311657928
839	0.3307402754
840	0.3306569658
841	0.330532961
842	0.329931824
843	0.3298183157
844	0.3297630805
845	0.3295562729
846	0.3291612373
847	0.3290949893
848	0.3290157582
849	0.3289639636
850	0.3287149806
851	0.3285746807
852	0.3284950722
853	0.3281757631
854	0.3280936632
855	0.3280416551
856	0.32764063
857	0.327272134
858	0.3271435963
859	0.3270278654
860	0.3269051819
861	0.3266599975
862	0.3262786524
863	0.3260093517
864	0.3258987854
865	0.3256972541
866	0.3256199275
867	0.3255626763
868	0.3253835713
869	0.3253350219
870	0.3251564543
871	0.3249823083
872	0.3248815705
873	0.3247683859
874	0.3246975922
875	0.3241715241
876	0.3238396915
877	0.3237854314
878	0.3236195557
879	0.3232841426
880	0.3230026431
881	0.3228865518
882	0.3227128404
883	0.3225993198
884	0.3223238716
885	0.3217910221
886	0.321293449
887	0.3208616482
888	0.3205857243
889	0.3202460886
890	0.3200651002
891	0.3197137808
892	0.3192944166
893	0.3190855203
894	0.3187836336
895	0.3184159528
896	0.3182097245
897	0.3181363839
898	0.3179734133
899	0.3176213729
900	0.3175429219
901	0.3171440366
902	0.3169110738
903	0.3168077424
904	0.3165771371
905	0.3162706476
906	0.3157733619
907	0.3156131356
908	0.3154640176
909	0.315301851
910	0.3150969916
911	0.3149130397
912	0.3146163022
913	0.3145368633
914	0.3144897519
915	0.3142294786
916	0.3140784912
917	0.3139214932
918	0.3138452782
919	0.3137728178
920	0.3135744786
921	0.3133059018
922	0.3128414099
923	0.312457945
924	0.3123183845
925	0.3122242105
926	0.3117446362
927	0.3114523946
928	0.3112604577
929	0.3110793001
930	0.3108973896
931	0.310800599
932	0.3107515751
933	0.3106138747
934	0.3101992203
935	0.309692391
936	0.309640285
937	0.3094216407
938	0.3092761735
939	0.309118442
940	0.3087608597
941	0.3085313453
942	0.3082639793
943	0.3081610401
944	0.3079198082
945	0.30775044
946	0.3074122873
947	0.3072454026
948	0.3070120453
949	0.3069505527
950	0.3064590633
951	0.3064145282
952	0.3062872613
953	0.3058431366
954	0.30571205
955	0.3054779079
956	0.3051630146
957	0.3049426704
958	0.3047183624
959	0.3042873437
960	0.3040681232
961	0.3037050823
962	0.303455756
963	0.3033504438
964	0.3031268928
965	0.3030521142
966	0.3028413836
967	0.3026257236
968	0.3018981683
969	0.3018473185
970	0.3016148763
971	0.3012694146
972	0.3008801642
973	0.3008130261
974	0.3007634359
975	0.3003479598
976	0.3000840472
977	0.2999005182
978	0.2998437805
979	0.2997955769
980	0.2995727515
981	0.2995234758
982	0.299460495
983	0.2994045242
984	0.299063747
985	0.2989616296
986	0.29863561
987	0.2985023284
988	0.2981912148
989	0.2980489029
990	0.2979946699
991	0.2977836138
992	0.2976322544
993	0.2975150607
994	0.2970727836
995	0.2970210751
996	0.2967377887
997	0.2964121996
998	0.2962762947
999	0.2959170647
